KX280836.1,Senecio_telmateius
MF373830.1,Senecio_erosus
MF290245.1,Senecio_bathurstianus
MF290326.1,Senecio_lacustrinus
KC695911.1,Senecio_lautus
KC695898.1,Senecio_lautus
HM050321.1,Senecio_calocephalus
HM050322.1,Senecio_candidans
KX280862.1,Senecio_aequinoctialis
KX494496.1,Senecio_balensis
KX280859.1,Senecio_cathcartensis
KX280848.1,Senecio_cyaneus
KX280847.1,Senecio_fresenii
KX280860.1,Senecio_harveianus
KX280826.1,Senecio_hieracioides
KX280849.1,Senecio_hochstetteri
KX280861.1,Senecio_hypochoerideus
KX494451.1,Senecio_inornatus
KX494484.1,Senecio_mattirolii
KX494489.1,Senecio_moorei
KX280852.1,Senecio_myriocephalus
KX494497.1,Senecio_nanus
KX494485.1,Senecio_ochrocarpus
KX280825.1,Senecio_oederiifolius
KX494495.1,Senecio_platypleurus
KX280863.1,Senecio_qathlambanus
KX280865.1,Senecio_ragazzii
KX280824.1,Senecio_rautaneni
KX280823.1,Senecio_reclinatus
KX494487.1,Senecio_rhammatophyllus
KX494450.1,Senecio_roseiflorus
KX280828.1,Senecio_rosmarinifolius
KX494501.1,Senecio_sabinjoensis
KX280853.1,Senecio_schimperi
KX494488.1,Senecio_schultzii
KX494449.1,Senecio_schweinfurthii
KX280864.1,Senecio_seminiveus
KX280854.1,Senecio_snowdenii
KX494453.1,Senecio_sotikensis
MF290261.1,Senecio_anethifolius
KX494454.1,Senecio_subsessilis
KX280822.1,Senecio_urundensis
KX280855.1,Senecio_unionis
GU818276.1,Senecio_medley-woodii
KX494486.1,Senecio_x_pirottae
GU818241.1,Robinsonia_evenia
HM050319.1,Robinsonia_gayana
GU818244.1,Robinsonia_gracilis
GU818243.1,Robinsonia_gracilis
GU818245.1,Robinsonia_masafuerae
HM050320.1,Robinsonia_thurifera
MF290281.1,Senecio_marotiri
MF290304.1,Senecio_marotiri
KX494498.1,Senecio_steudelii
MF290280.1,Senecio_quadridentatus
MF290285.1,Senecio_rufiglandulosus
FM173146.1,Senecio_burchellii
JN789689.1,Senecio_burchellii
KX494472.1,Senecio_eremophilus
GU818298.1,Senecio_suaveolens
KX494459.1,Senecio_chilensis
GU818264.1,Senecio_hemmendorffii
GU818271.1,Senecio_jarae
GU818273.1,Senecio_latifolius
GU818275.1,Senecio_mairetianus
GU818283.1,Senecio_otites
GU818286.1,Senecio_pinifolius
GU818291.1,Senecio_retrorsus
GU818293.1,Senecio_saxatilis
GU818302.1,Senecio_thapsoides
GU818304.1,Senecio_triqueter
JN789732.1,Senecio_vulgaris
AF319755.1,Senecio_vulgaris
MF290284.1,Senecio_magnificus
MF290277.1,Senecio_dunedinensis
MF290241.1,Senecio_glomeratus
MF290242.1,Senecio_glomeratus
MF290267.1,Senecio_minimus
MF290256.1,Senecio_minimus
KU696190.1,Senecio_acutipinnus
KU696193.1,Senecio_lijiangensis
KU696195.1,Senecio_tricuspis
GU818270.1,Senecio_integerrimus
JN789687.1,Senecio_angustifolius
JN789688.1,Senecio_bollei
JN789690.1,Senecio_carroensis
JN789692.1,Senecio_erysimoides
JN789693.1,Senecio_fruticulosus
JN789705.1,Senecio_kerdousianus
JN789706.1,Senecio_laxus
JN789707.1,Senecio_leptophyllus
JN789710.1,Senecio_littoreus
GU818260.1,Senecio_flavus
JN789719.1,Senecio_mohavensis
JN789726.1,Senecio_aethnensis
JN789716.1,Senecio_massaicus
JN789714.1,Senecio_massaicus
JN789724.1,Senecio_pinnulatus
JN789725.1,Senecio_piptocoma
JN789709.1,Senecio_leucanthemifolius
JN789711.1,Senecio_lividus
JN789718.1,Senecio_maulinus
JN789723.1,Senecio_petraeus
JN789722.1,Senecio_parvifolius
JN789728.1,Senecio_rupestris
JN789727.1,Senecio_squalidus
JN789731.1,Senecio_teneriffae
JN789720.1,Senecio_nebrodensis
JN789729.1,Senecio_sylvaticus
GU818240.1,Robinsonia_berteroi
GU818278.1,Senecio_nemorensis
GU818294.1,Senecio_scandens
KU696194.1,Senecio_scandens
KX494480.1,Senecio_doriiformis
KX494478.1,Senecio_paulsenii
KX494477.1,Senecio_pseudo-orientalis
MF290266.1,Senecio_esleri
GU818257.1,Senecio_elegans
MF290308.1,Senecio_esperensis
MF290240.1,Senecio_macrocarpus
MF290318.1,Senecio_depressicola
MF290319.1,Senecio_depressicola
JN789721.1,Senecio_niveus
KU696192.1,Senecio_laetus
KU696189.1,Senecio_actinotus
JN789701.1,Senecio_inaequidens
MF290303.1,Senecio_lautus
JN789712.1,Senecio_madagascariensis
MF290300.1,Senecio_carnosulus
MF290299.1,Senecio_carnosulus
MF290268.1,Senecio_hispidulus
MF290257.1,Senecio_hispidulus
MF290310.1,Senecio_sterquilinus
JN789708.1,Senecio_vernalis
JN789685.1,Senecio_abruptus
KX494463.1,Senecio_aphanactis
KX280827.1,Senecio_consanguineus
JN789691.1,Senecio_cryphiactis
KX280821.1,Senecio_coronatus
KX494464.1,Senecio_lemmonii
JN789697.1,Senecio_glaucus
JN789696.1,Senecio_glaucus
GU818251.1,Senecio_boyacensis
GU818261.1,Senecio_gayanus
GU818262.1,Senecio_gramineus
GU818263.1,Senecio_gregorii
GU818265.1,Senecio_hieracium
GU818266.1,Senecio_hispidissimus
GU818269.1,Senecio_ilicifolius
GU818272.1,Senecio_lastarrianus
GU818279.1,Senecio_nevadensis
GU818289.1,Senecio_prenanthoides
GU818290.1,Senecio_psilocarpus
GU818296.1,Senecio_squarrosus
GU818300.1,Senecio_szyszylowiczii
GU818301.1,Senecio_tauricola
GU818305.1,Senecio_vestitus
GU818267.1,Senecio_hollandii
GU818285.1,Senecio_pflanzii
GU818248.1,Senecio_acanthifolius
GU818299.1,Senecio_superandinus
GU818128.1,Senecio_cadiscus
KU696191.1,Senecio_graciliflorus
HM050324.1,Lasiocephalus_campanulatus
GU818284.1,Senecio_patens
MF290309.1,Senecio_lautus_x_Senecio_repangae
MF290239.1,Senecio_minimus_x_Senecio_glomeratus
MF290298.1,Senecio_glaucophyllus
MF290248.1,Senecio_bipinnatisectus
MF290247.1,Senecio_bipinnatisectus
MF290291.1,Senecio_biserratus
MF290283.1,Senecio_campylocarpus
MF290330.1,Senecio_condylus
MF290329.1,Senecio_condylus
MF290287.1,Senecio_glossanthus
MF290286.1,Senecio_glossanthus
MF290244.1,Senecio_distalilobatus
MF290279.1,Senecio_dolichocephalus
MF290260.1,Senecio_cunninghamii
MF290269.1,Senecio_extensus
MF290282.1,Senecio_glabrescens
MF290296.1,Senecio_glaucophyllus
MF290297.1,Senecio_glaucophyllus
MF290293.1,Senecio_halophilus
MF290288.1,Senecio_halophilus
MF290271.1,Senecio_hauwai
MF290311.1,Senecio_hooglandii
MF290251.1,Senecio_hypoleucus
MF290250.1,Senecio_hypoleucus
MF290270.1,Senecio_kermadecensis
MF290320.1,Senecio_hamersleyensis
MF290321.1,Senecio_hamersleyensis
MF290259.1,Senecio_lanibracteus
MF290258.1,Senecio_linearifolius
MF290274.1,Senecio_longicollaris
MF290238.1,Senecio_nigrapicus
MF290249.1,Senecio_odoratus
MF290278.1,Senecio_phelleus
MF290237.1,Senecio_picridioides
MF290275.1,Senecio_psilophyllus
MF290306.1,Senecio_radiolatus
MF290305.1,Senecio_radiolatus
MF290302.1,Senecio_repangae
MF290255.1,Senecio_repangae
MF290323.1,Senecio_spanomerus
MF290324.1,Senecio_spanomerus
MF290315.1,Senecio_spathulatus
MF290314.1,Senecio_spathulatus
GU818277.1,Senecio_meuselii
KX494470.1,Senecio_adenotrichius
GU818249.1,Senecio_algens
GU818250.1,Senecio_arnicoides
MF373829.1,Senecio_asperulus
MF290312.1,Senecio_australis
MF290246.1,Senecio_banksii
KX494466.1,Senecio_cisplatinus
HM050323.1,Senecio_cremeiflorus
GU818255.1,Senecio_ctenophyllus
GU818253.1,Senecio_culcitioides
MF290264.1,Senecio_diaschides
MF290262.1,Senecio_diaschides
KX494479.1,Senecio_doronicum
GU818303.1,Senecio_triodon
GU818287.1,Senecio_pinnatifolius
KX494471.1,Senecio_farinifer
KX494475.1,Senecio_filaginoides
GU818258.1,Senecio_fistulosus
KX494481.1,Senecio_franchetii
JN789694.1,Senecio_glastifolius
MF290276.1,Senecio_gunnii
KU499903.1,Senecio_changii
GU818268.1,Senecio_hypsobates
KX494468.1,Senecio_leptolobus
MF290273.1,Senecio_macranthus
KX280851.1,Senecio_meyeri-johannis
KX494469.1,Senecio_montevidensis
GU818281.1,Senecio_oerstedianus
GU818282.1,Senecio_oreophyton
GU818288.1,Senecio_polygaloides
MF373831.1,Senecio_pubiger
KX494482.1,Senecio_pyrenaicus
GU818292.1,Senecio_roseus
KX494465.1,Senecio_rufescens
KX494474.1,Senecio_selloi
KX494461.1,Senecio_spartioides
GU818297.1,Senecio_stigophlebius
JN789730.1,Senecio_telekii
KX494476.1,Senecio_tricuspidatus
KX494458.1,Senecio_volckmannii
MF290272.1,Senecio_wairauensis
GU818274.1,Senecio_lineatus
GU818256.1,Senecio_deltoideus
GU818306.1,Senecio_viscosus
JN789704.1,Senecio_incrassatus
KX280837.1,Senecio_affinis
KX280830.1,Senecio_anomalochrous
KX280838.1,Senecio_austromontanus
KX280839.1,Senecio_byrnensis
KX280831.1,Senecio_chrysocoma
KX280840.1,Senecio_citriceps
KX280841.1,Senecio_cristimontanus
KX280833.1,Senecio_discodregeanus
KX280834.1,Senecio_glanduloso-lanosus
KX280835.1,Senecio_glanduloso-pilosus
KX280829.1,Senecio_lydenburgensis
KX280842.1,Senecio_macowanii
KX280832.1,Senecio_macrospermus
KX280843.1,Senecio_mauricei
KX280844.1,Senecio_mooreanus
KX280845.1,Senecio_paludaffinis
KX280846.1,Senecio_praeteritus
JN789700.1,Senecio_hoggariensis
1_7_schweinfurtii,Senecio_schweinfurthii
10_3_roseiflorus,Senecio_roseiflorus
1009_S_inornatus,Senecio_inornatus
1020_S_reclinatus,Senecio_reclinatus
1021_S_rautanenii,Senecio_rautaneni
1022_S_oederiafolius,Senecio_oederiifolius
1025_S_hieracioides,Senecio_hieracioides
1026_S_consanguineus,Senecio_consanguineus
1030_S_rosmarinifolius,Senecio_rosmarinifolius
1101_lydenburgensis,Senecio_lydenburgensis
1104_coronatus,Senecio_coronatus
1105_anomalochorus,Senecio_anomalochrous
1110_chrysocoma,Senecio_chrysocoma
1114_macrospermus,Senecio_macrospermus
1119_glanduloso_lanosus,Senecio_glanduloso_lanosus
1120_glanduloso_pilosus,Senecio_glanduloso_pilosus
1124_affinis,Senecio_affinis
1126_austromontanus,Senecio_austromontanus
1127_byrnensis,Senecio_byrnensis
1129_citriceps,Senecio_citriceps
1130_cristimontanus,Senecio_cristimontanus
1132_macowanii,Senecio_macowanii
1133_mauricei,Senecio_mauricei
1134_mooreanus,Senecio_mooreanus
1137_paludaffinis,Senecio_paludaffinis
1138_praeteritus,Senecio_praeteritus
13_2_sotikensis,Senecio_sotikensis
14_1_subsessilis,Senecio_subsessilis
16_4_fresenii,Senecio_fresenii
17_3_cyaneus,Senecio_cyaneus
18_1_farinaceus,Senecio_farinaceus
19_3_hochstetteri,Senecio_hochstetteri
2_3_purtschelleri,Senecio_purtschelleri
2_5_purtschelleri,Senecio_purtschelleri
2001_Crassocephalum_vitellinium,Crassocephalum_vitellinum
2004_volckmannii,Senecio_volckmannii
2005_chilensis,Senecio_chilensis
2007_humillimus,Senecio_humillimus
2009_spartioides,Senecio_spartioides
2010_flaccidus,Senecio_flaccidus
2011_aphanactis,Senecio_aphanactis
2012_lemmonii,Senecio_lemmonii
2013_rufescens,Senecio_rufescens
2014_cisplatinus,Senecio_cisplatinus
2015_brasiliensis,Senecio_brasiliensis
2016_leptolobus_ambiguities,Senecio_leptolobus
2017_montevidensis,Senecio_montevidensis
2018_adenotrichius_ambiguities,Senecio_adenotrichius
2019_farinifer,Senecio_farinifer
2020_eremophilus,Senecio_eremophilus
2021_niveoaureus,Senecio_niveoaureus
2022_selloi,Senecio_selloi
2023_filaginoides_ambiguities,Senecio_filaginoides
2025_tricuspidatus,Senecio_tricuspidatus
2027_pseudoorientalis,Senecio_pseudoorientalis
2028_paulsenii,Senecio_paulsenii
2029_doronicum,Senecio_doronicum
2030_doriiformis,Senecio_doriiformis
2031_franchetii,Senecio_franchetii
2033_pyrenaicus,Senecio_pyrenaicus
2034_humillimus,Senecio_humillimus
21_1_mattirolii,Senecio_mattirolii
22_2_meyeri_johannis,Senecio_meyeri_johannis
23_2_myriocephalus,Senecio_myriocephalus
24_1_ochrocarpus,Senecio_ochrocarpus
25_1_x_pirottae,Senecio_pirottae
27_1_rhammatophyllus,Senecio_rhammatophyllus
28_4_schimperi,Senecio_schimperi
29_3_schultzii,Senecio_schultzii
3_5_moorei,Senecio_moorei
30_1_snowdenii,Senecio_snowdenii
32_4_transmarinus,Senecio_transmarinus
32_5_transmarinus,Senecio_transmarinus
33_1_unionis,Senecio_unionis
34_1_aegyptius,Senecio_aegyptius
4_1_keniophytum,Senecio_keniophytum
4_3_keniophytum,Senecio_keniophytum
4_5_keniophytum,Senecio_keniophytum
42_1_caloneotes,Senecio_caloneotes
42_2_caloneotes,Senecio_caloneotes
43_1_cathcartensis,Senecio_cathcartensis
46_2_harveianus,Senecio_harveianus
47_1_hypochoerideus,Senecio_hypochoerideus
5_3_aequinoctalis,Senecio_aequinoctialis
50_1_qathlambanus,Senecio_qathlambanus
51_1_seminiveus,Senecio_seminiveus
56_1_platypleurus,Senecio_platypleurus
58_1_balensis,Senecio_balensis
59_1_nanus,Senecio_nanus
60_1_steudelii,Senecio_steudelii
62_1_ragazzi,Senecio_ragazzii
7_2_jacksonii,Senecio_jacksonii
7_3_jacksonii,Senecio_jacksonii
Erechtites_valerianifolius,Erechtites_valerianifolius
S_aegyptius,Senecio_aegyptius
S_aethnensis,Senecio_aethnensis
S_angustifolius,Senecio_angustifolius
S_bollei,Senecio_bollei
S_brasiliensis,Senecio_brasiliensis
S_carroensis,Senecio_carroensis
S_cryphiactis,Senecio_cryphiactis
S_erysimoides,Senecio_erysimoides
S_flaccidus,Senecio_flaccidus
S_glastifolius,Senecio_glastifolius
S_gramineus,Senecio_gramineus
S_gregorii,Senecio_gregorii
S_hispidissimus,Senecio_hispidissimus
S_ilicifolius,Senecio_ilicifolius
S_inaequidens,Senecio_inaequidens
S_integerrimus,Senecio_integerrimus
S_jarae,Senecio_jarae
S_lastarrianus,Senecio_lastarrianus
S_lautus,Senecio_lautus
S_laxus,Senecio_laxus
S_leptophyllus,Senecio_leptophyllus
S_littoreus,Senecio_littoreus
S_mairetianus,Senecio_mairetianus
S_maritimus,Senecio_maritimus
S_maulinus,Senecio_maulinus
S_nemorensis,Senecio_nemorensis
S_niveoaureus,Senecio_niveoaureus
S_niveus,Senecio_niveus
S_oreophyton,Senecio_oreophyton
S_parvifolius,Senecio_parvifolius
S_patens,Senecio_patens
S_pinnatifolius,Senecio_pinnatifolius
S_pinnulatus,Senecio_pinnulatus
S_piptocoma,Senecio_piptocoma
S_polygaloides,Senecio_polygaloides
S_psilocarpus,Senecio_psilocarpus
S_roseus,Senecio_roseus
S_squarrosus,Senecio_squarrosus
S_telekii,Senecio_telekii
S_vestitus,Senecio_vestitus
1004_S_sabinjoensis,Senecio_sabinjoensis
1005_S_urundensis,Senecio_urundensis
S_cadiscus,Senecio_cadiscus
1125_S_arniciflorus,Senecio_arniciflorus
