S_sisymbriifolius,Senecio_sisymbriifolius
1020_S_recli,Senecio_reclinatus
S_filaginoides,Senecio_filaginoides
S_selloi,Senecio_selloi
16_2_fresenii,Senecio_fresenii
1128_brevidentatus,Senecio_brevidentatus
S_doronicum,Senecio_doronicum
3_5_moorei,Senecio_moorei
1112_sandersonii,Senecio_sandersonii
S_umbrosus,Senecio_umbrosus
46_harveianus,Senecio_harveianus
1139_reptans,Senecio_reptans
1130_cristimontanus,Senecio_cristimontanus
S_angustifolius,Senecio_angustifolius
S_eenii2,Senecio_eenii
S_arenarius,Senecio_arenarius
Spring_S_piptocoma,Senecio_piptocoma
S_glastifolius,Senecio_glastifolius
1124_affinis,Senecio_affinis
2028_paulsenii,Senecio_paulsenii
S_glaber,Senecio_glaber
2010_flaccidus,Senecio_flaccidus
S_sarracenicus,Senecio_sarracenicus
1117_albanensis,Senecio_albanensis
25_1_x_pirottae,Senecio_x_pirottae
S_aegyptius,Senecio_aegyptius
S_leptolobus,Senecio_leptolobus
7_2_jacksonii,Senecio_jacksonii
S_poeppigii1,Senecio_poeppigii
S_landbeckii,Senecio_landbeckii
4_1_keniophytum,Senecio_keniophytum
S_lautus,Senecio_lautus
2031_franchetii,Senecio_franchetii
2018_adenotrichius,Senecio_adenotrichius
29_2_schultzii,Senecio_schultzii
S_pyrenaicus,Senecio_pyrenaicus
14_4_subsessilis,Senecio_subsessilis
S_hispidissimus,Senecio_hispidissimus
S_kolenatianus,Senecio_kolenatianus
Spring_S_erysimoides,Senecio_erysimoides
Spring_S_maritimus,Senecio_maritimus
47_1_hypochoerideus,Senecio_hypochoerideus
2_3_purtschelleri,Senecio_purtschelleri
4_5_keniophytum,Senecio_keniophytum
2034_humillimus,Senecio_humillimus
58_3_balensis,Senecio_balensis
S_gramineus,Senecio_gramineus
Spring_S_laxus,Senecio_laxus
32_3_transmarinus,Senecio_transmarinus
1133_mauricei,Senecio_mauricei
28_4_schimperi,Senecio_schimperi
23_2_myriocephalus,Senecio_myriocephalus
1119_glanduloso_lanosus,Senecio_glanduloso_lanosus
2013_rufescens,Senecio_rufescens
1134_mooreanus,Senecio_mooreanus
24_1_ochrocarpus,Senecio_ochrocarpus
S_patens,Senecio_patens
S_pubiger,Senecio_pubiger
59_1_nanus,Senecio_nanus
2001_Crassocephalum_vitellinium,Crassocephalum_vitellinum
17_3_cyaneus,Senecio_cyaneus
1105_anomalochorus,Senecio_anomalochrous
1138_praeteritus,Senecio_praeteritus
S_parvifolius,Senecio_parvifolius
62_1_ragazzi,Senecio_ragazzii
S_paulsenii,Senecio_paulsenii
56_1_platypleurus,Senecio_platypleurus
S_gnidioides,Senecio_gnidioides
50_1_qathlambanus,Senecio_qathlambanus
S_aspericaulis,Senecio_aspericaulis
S_squarrosus,Senecio_squarrosus
S_telekii,Senecio_telekii
2020_eremophilus,Senecio_eremophilus
34_1_aegyptius,Senecio_aegyptius
31_2_telekii,Senecio_telekii
S_lopezii,Senecio_lopezii
S_cryphiactis,Senecio_cryphiactis
2027_pseudoorientalis,Senecio_pseudoorientalis
S_gunnii,Senecio_gunnii
1_7_schweinfurtii,Senecio_schweinfurthii
S_eriopus,Senecio_eriopus
2014_cisplatinus,Senecio_cisplatinus
Erechtites_valerianifolius,Erechtites_valerianifolius
1104_coronatus,Senecio_coronatus
3_3_moorei,Senecio_moorei
2022_selloi,Senecio_selloi
2019_farinifer,Senecio_farinifer
S_aphanactis,Senecio_aphanactis
S_jarae,Senecio_jarae
S_gregorii,Senecio_gregorii
S_lagascanus,Senecio_lagascanus
1123_telmateius,Senecio_telmateius
S_lemmonii,Senecio_lemmonii
S_rufescens,Senecio_rufescens
S_gallicus,Senecio_gallicus
S_ertterae,Senecio_ertterae
S_eremophilus,Senecio_eremophilus
1127_byrnensis,Senecio_byrnensis
S_crithmoides,Senecio_crithmoides
S_eubaeus,Senecio_eubaeus
1_6_schweinfurtii,Senecio_schweinfurthii
1118_discodregeanus,Senecio_discodregeanus
1026_S_consanguineus,Senecio_consanguineus
S_bollei,Senecio_bollei
30_1_snowdenii,Senecio_snowdenii
S_tauricola,Senecio_tauricola
S_olympicus,Senecio_olympicus
S_decurrens,Senecio_decurrens
5_1_aequinoctalis,Senecio_aequinoctialis
S_hesperidium,Senecio_hesperidium
16_4_fresenii,Senecio_fresenii
2035_deferens,Senecio_deferens
58_2_balensis,Senecio_balensis
2023_filaginoides,Senecio_filaginoides
S_hastatus,Senecio_hastatus
S_giessii,Senecio_giessii
S_tricuspidatus,Senecio_tricuspidatus
S_asperulus,Senecio_asperulus
27_2_rhammatophyllus,Senecio_rhammatophyllus
29_1_schultzii,Senecio_schultzii
58_1_balensis,Senecio_balensis
1132_macowanii,Senecio_macowanii
2004_volckmannii,Senecio_volckmannii
29_3_schultzii,Senecio_schultzii
S_transylvanicus,Senecio_transylvanicus
S_doria,Senecio_doria
1021_S_rautanenii,Senecio_rautaneni
21_1_mattirolii,Senecio_mattirolii
59_3_nanus,Senecio_nanus
Spring_53_1_abruptus,Senecio_abruptus
2017_montevidensis,Senecio_montevidensis
S_nemorensis,Senecio_nemorensis
1113_hirsutiloides,Senecio_hirsutilobus
S_panduriformis,Senecio_panduriformis
S_aethnensis,Senecio_aethnensis
2029_doronicum,Senecio_doronicum
1004_S_sabinjoensis,Senecio_sabinjoensis
2016_leptolobus,Senecio_leptolobus
S_adenotrichius,Senecio_adenotrichius
32_5_transmarinus,Senecio_transmarinus
19_1_hochstetteri,Senecio_hochstetteri
S_coriaceus,Senecio_coriaceus
7_1_jacksonii,Senecio_jacksonii
S_elegans,Senecio_elegans
S_lastarrianus,Senecio_lastarrianus
S_oreophyton,Senecio_oreophyton
S_perralderianus,Senecio_perralderianus
S_volckmannii,Senecio_volckmannii
S_purpureus,Senecio_purpureus
1009_S_inornatus,Senecio_inornatus
S_niveoaureus,Senecio_niveoaureus
S_leptophyllus,Senecio_leptophyllus
1110_chrysocoma,Senecio_chrysocoma
S_californicus,Senecio_californicus
1143_polyodon,Senecio_polyodon
S_carroensis,Senecio_carroensis
2_5_purtschelleri,Senecio_purtschelleri
S_cadiscus,Senecio_cadiscus
S_trifidus,Senecio_trifidus
S_windhoekensis,Senecio_windhoekensis
33_1_unionis,Senecio_unionis
Spring_S_littoreus,Senecio_littoreus
S_spartioides,Senecio_spartioides
S_asirensis,Senecio_asirensis
S_provincialis,Senecio_provincialis
S_eenii,Senecio_eenii
S_polygaloides,Senecio_polygaloides
3_4_moorei,Senecio_moorei
1022_S_oederiafolius,Senecio_oederiifolius
10_3_roseiflorus,Senecio_roseiflorus
S_niveus,Senecio_niveus
S_vestitus,Senecio_vestitus
19_3_hochstetteri,Senecio_hochstetteri
22_2_meyeri_johannis,Senecio_meyeri_johannis
1101_lydenburgensis,Senecio_lydenburgensis
S_castagneanus,Senecio_castagneanus
S_inaequidens,Senecio_inaequidens
1025_S_hieraco,Senecio_hieracioides
S_glutinosus,Senecio_glutinosus
42_1_caloneotes,Senecio_caloneotes
2011_aphanactis,Senecio_aphanactis
2009_spartioides,Senecio_spartioides
S_bahioides,Senecio_bahioides
1137_paludaffinis,Senecio_paludaffinis
32_4_transmarinus,Senecio_transmarinus
30_2_snowdenii,Senecio_snowdenii
1111_rhyncholaenus,Senecio_rhyncholaenus
14_1_subsessilis,Senecio_subsessilis
27_1_rhammatophyllus,Senecio_rhammatophyllus
S_rodriguezii,Senecio_rodriguezii
S_donianus,Senecio_donianus
2015_brasiliensis,Senecio_brasiliensis
S_farinifer,Senecio_farinifer
S_pinnatifoliuS,Senecio_pinnatifolius
S_franchetii,Senecio_franchetii
S_maulinus,Senecio_maulinus
S_flaccidus,Senecio_flaccidus
S_integerrimus,Senecio_integerrimus
5_3_aequinoctalis,Senecio_aequinoctialis
S_mairetianus,Senecio_mairetianus
S_wairauensis,Senecio_wairauensis
1129_citriceps,Senecio_citriceps
14_2_subsessilis_neu,Senecio_subsessilis
S_pinnulatus,Senecio_pinnulatus
1141_saniensis,Senecio_saniensis
18_1_farinaceus,Senecio_farinaceus
50_2_qathlambanus,Senecio_qathlambanus
S_laetevirens,Senecio_laetevirens
4_3_keniophytum,Senecio_keniophytum
1_9_schweinfurtii,Senecio_schweinfurthii
1120_glanduloso_pilosus,Senecio_glanduloso_pilosus
2030_doriiformis,Senecio_doriiformis
S_roseus,Senecio_roseus
51_1_seminiveus,Senecio_seminiveus
7_3_jacksonii,Senecio_jacksonii
1005_S_urundensis,Senecio_urundensis
S_trapezuntinus,Senecio_trapezuntinus
S_scopolii,Senecio_scopolii
S_deferens,Senecio_deferens
S_costaricensis,Senecio_costaricensis
1030_S_rosmarinifolius,Senecio_rosmarinifolius
1135_natalicola,Senecio_natalicola
S_glaucescens,Senecio_glaucescens
S_humillimus,Senecio_humillimus
2005_chilensis,Senecio_chilensis
42_2_caloneotes,Senecio_caloneotes
S_ilicifolius,Senecio_ilicifolius
S_consanguineus,Senecio_consanguineus
1125_S_arnicifloris,Senecio_arniciflorus
S_dregeanus,Senecio_dregeanus
S_macedonicus,Senecio_macedonicus
43_1_cathcartensis,Senecio_cathcartensis
17_1_cyaneus,Senecio_cyaneus
S_cakilefolius,Senecio_cakilefolius
13_2_sotikensis,Senecio_sotikensis
1114_macrospermus,Senecio_macrospermus
S_sinuatilobus,Senecio_sinuatilobus
S_psilocarpus,Senecio_psilocarpus
S_douglasii,Senecio_douglasii
S_brasiliensis,Senecio_brasiliensis
2033_pyrenaicus,Senecio_pyrenaicus
2007_humillimus,Senecio_humillimus
2025_tricuspidatus,Senecio_tricuspidatus
2012_lemmonii,Senecio_lemmonii
2021_niveoaureus,Senecio_niveoaureus
S_stoechadiformis,Senecio_stoechadiformis
1126_austromontanus,Senecio_austromontanus
GU818707,Senecio_triodon
MF373828,Senecio_erosus
MF290085,Senecio_bathurstianus
KC696056,Senecio_bathurstianus
MF290167,Senecio_brigalowensis
KC696058,Senecio_brigalowensis
MF290166,Senecio_lacustrinus
MF290165,Senecio_lacustrinus
KC695978,Senecio_lautus
KC695944,Senecio_lautus
MF290119,Senecio_linearifolius
HM050325,Senecio_calocephalus
HM050326,Senecio_candidans
MF290120,Senecio_extensus
MF290109,Senecio_gawlerensis
KX494567,Senecio_aequinoctialis
KM592487,Senecio_balensis
KX494562,Senecio_jacksonii
KX494515,Senecio_pergamentaceus
MF290111,Senecio_lanibracteus
MF290110,Senecio_anethifolius
EF538290,Robinsonia_gracilis
KM365027,Senecio_marotiri
MF290226,Senecio_marotiri
KX494505,Senecio_baurii
KX494502,Senecio_depauperatus
KX494509,Senecio_humidanus
KX494517,Senecio_pinnatipartitus
KX494508,Senecio_poseideonis
KX494506,Senecio_scitus
KX494516,Senecio_strictifolius
KX494519,Senecio_tugelensis
MF290138,Senecio_quadridentatus
MF290136,Senecio_quadridentatus
AF422135,Senecio_rufiglandulosus
MF290126,Senecio_rufiglandulosus
JN789738,Senecio_burchellii
EF538309,Senecio_burchellii
AF459945,Senecio_eremophilus
MG219895,Senecio_eremophilus
EF538150,Senecio_involucratus
GU289931,Senecio_involucratus
KY397506,Senecio_pinnatifolius
EF538179,Culcitium_pflanzii
EF538222,Senecio_suaveolens
EF538223,Senecio_suaveolens
EF538238,Iocenes_acanthifolius
EF538248,Lasiocephalus_ovatus
GU289998,Lasiocephalus_ovatus
EF538313,Senecio_chilensis
EF538338,Senecio_glaberrimus
EF538350,Senecio_jarae
EF538354,Senecio_latifolius
EF538359,Senecio_mairetianus
EF538372,Senecio_retrorsus
EF538388,Senecio_thapsoides
MH364395,Senecio_vulgaris
AF422136,Senecio_vulgaris
MF290124,Senecio_magnificus
KY397505,Senecio_pinnatifolius
EF538332,Senecio_espinosae
EF538342,Senecio_grossidens
AY176156,Senecio_thianschanicus
MF290146,Senecio_dunedinensis
MF290145,Senecio_dunedinensis
EU331117,Senecio_glomeratus
MF290084,Senecio_glomeratus
EU331119,Senecio_minimus
MF290101,Senecio_minimus
KU696067,Senecio_acutipinnus
KU696070,Senecio_lijiangensis
KU696072,Senecio_tricuspis
EF538336,Senecio_flaccidus
EF538349,Senecio_integerrimus
JN789735,Senecio_angustifolius
JN789736,Senecio_bollei
JN789741,Senecio_carroensis
JN789743,Senecio_erysimoides
JN789744,Senecio_fruticulosus
JN789734,Senecio_aegyptius
AJ400777,Senecio_aegyptius
AJ400779,Senecio_aethnensis
AJ400780,Senecio_chrysanthemifolius
GU818643,Senecio_flavus
GU818645,Senecio_flavus
AJ400781,Senecio_mohavensis
JN789810,Senecio_leptophyllus
AJ400783,Senecio_gallicus
AJ400789,Senecio_hesperidium
AJ400790,Senecio_leucanthemifolius
JN789811,Senecio_leucanthemifolius
JN789901,Senecio_maulinus
JN789908,Senecio_piptocoma
AJ400798,Senecio_petraeus
JN789906,Senecio_petraeus
JN789907,Senecio_pinnulatus
JN789813,Senecio_lividus
AJ400795,Senecio_lividus
JN789904,Senecio_parvifolius
AJ400796,Senecio_nebrodensis
JN789902,Senecio_nebrodensis
AJ400804,Senecio_squalidus
EU812815,Senecio_sylvaticus
AF459928,Senecio_sylvaticus
AJ400813,Senecio_malacitanus
AJ400801,Senecio_rupestris
AJ400800,Senecio_rupestris
JN789909,Senecio_squalidus
GU289953,Culcitium_nivale
GU289957,Culcitium_nivale
GU289961,Lasiocephalus
GU289955,Lasiocephalus
GU289945,Lasiocephalus_cuencanus
GU289943,Lasiocephalus_cuencanus
GU290010,Lasiocephalus_heterophyllus
GU290012,Lasiocephalus_heterophyllus
GU289964,Lasiocephalus_lingulatus
GU289979,Lasiocephalus_lingulatus
GU290029,Lasiocephalus_longipenicillatus
GU290027,Lasiocephalus_longipenicillatus
GU289946,Lasiocephalus_otophorus
GU289950,Lasiocephalus_otophorus
GU289989,Lasiocephalus_pichinchensis
GU290006,Lasiocephalus_pichinchensis
GU289984,Lasiocephalus_sodiroi
GU289981,Lasiocephalus_sodiroi
AF459957,Robinsonia_berteroi
JX895272,Senecio_doria
JX895277,Senecio_doria
AF459937,Senecio_nemorensis
JX895508,Senecio_castagneanus
JX895507,Senecio_doriiformis
JX895289,Senecio_eriopus
JX895291,Senecio_eriopus
JX895236,Senecio_eubaeus
JX895238,Senecio_eubaeus
JX895383,Senecio_provincialis
JX895401,Senecio_provincialis
JX895251,Senecio_kolenatianus
JX895252,Senecio_kolenatianus
JX895352,Senecio_lagascanus
JX895351,Senecio_lagascanus
JX895261,Senecio_lopezii
JX895264,Senecio_lopezii
JX895510,Senecio_macedonicus
JX895511,Senecio_olympicus
JX895235,Senecio_paulsenii
JX895234,Senecio_paulsenii
JX895512,Senecio_pseudo-orientalis
JX895513,Senecio_scopolii
JX895396,Senecio_scopolii
JX895306,Senecio_transylvanicus
JX895303,Senecio_transylvanicus
JX895514,Senecio_trapezuntinus
JX895443,Senecio_umbrosus
JX895447,Senecio_umbrosus
MF290096,Senecio_esleri
MF290095,Senecio_esleri
EU812811,Senecio_wairauensis
GU818642,Senecio_elegans
EU812812,Senecio_elegans
EU812813,Senecio_glaucophyllus
EU812814,Senecio_lautus
MF290228,Senecio_esperensis
MF290227,Senecio_esperensis
MF290113,Senecio_macrocarpus
MF290168,Senecio_depressicola
MF290169,Senecio_depressicola
GU289963,Lasiocephalus
GU289954,Lasiocephalus
JN789903,Senecio_niveus
KU696066,Senecio_actinotus
JN789787,Senecio_inaequidens
JN789786,Senecio_inaequidens
MF290222,Senecio_lautus
JN789815,Senecio_madagascariensis
JN789905,Senecio_madagascariensis
EU331106,Senecio_glomeratus
MF290233,Senecio_carnosulus
EU331121,Senecio_carnosulus
EU331118,Senecio_hispidulus
JX895506,Senecio_hispidulus
MF290231,Senecio_sterquilinus
EU331122,Senecio_sterquilinus
KT249847,Senecio_vernalis
JN789911,Senecio_vernalis
AF457422,Senecio_arenarius
AF457428,Senecio_abruptus
JN789733,Senecio_abruptus
AF457430,Senecio_aphanactis
AF457412,Senecio_apiifolius
AF457421,Senecio_arenarius
AF457434,Senecio_brasiliensis
GU818641,Senecio_brasiliensis
AF457423,Senecio_cakilefolius
AF457419,Senecio_consanguineus
AF457420,Senecio_consanguineus
JN789742,Senecio_cryphiactis
AF457429,Senecio_cryphiactis
AF457424,Senecio_eenii
AF457425,Senecio_eenii
KM592491,Senecio_coronatus
AF457433,Senecio_ertterae
AF457418,Senecio_giessii
AF457427,Senecio_glutinosus
AF457437,Senecio_krascheninnikovii
AF457432,Senecio_lemmonii
AF457417,Senecio_englerianus
AF457436,Senecio_mohavensis
AF457426,Senecio_windhoekensis
JN789767,Senecio_glaucus
JN789754,Senecio_glaucus
GU818649,Senecio_gayanus
GU818650,Senecio_gramineus
GU818651,Senecio_gregorii
GU818652,Senecio_hieracium
GU818657,Senecio_hispidissimus
GU818654,Senecio_hispidissimus
GU818662,Senecio_ilicifolius
GU818663,Senecio_lastarrianus
GU818664,Senecio_nevadensis
GU818681,Senecio_prenanthoides
GU818685,Senecio_psilocarpus
GU818689,Senecio_psilocarpus
GU818699,Senecio_squarrosus
GU818704,Senecio_squarrosus
GU818708,Senecio_vestitus
GU818661,Senecio_hollandii
GU818506,Senecio_cadiscus
GU818498,Senecio_cadiscus
MG218088,Senecio_lugens
KU696068,Senecio_graciliflorus
JN789812,Senecio_littoreus
JX895422,Senecio_provincialis_x_Senecio_lagascanus
JX895420,Senecio_provincialis_x_Senecio_lagascanus
MG219977,Senecio_sheldonensis
MG218464,Senecio_sheldonensis
EF538149,Lasiocephalus_campanulatus
GU290015,Lasiocephalus_campanulatus
EF538151,Senecio_patens
GU290032,Senecio_patens
MF290221,Senecio_lautus_x_Senecio_repangae
MF290079,Senecio_minimus_x_Senecio_glomeratus
MF290144,Senecio_dunedinensis
MF290142,Senecio_dunedinensis
MF290201,Senecio_glaucophyllus
MF290202,Senecio_glaucophyllus
MF290214,Senecio_glaucophyllus
MF290210,Senecio_glaucophyllus
MF290236,Senecio_lautus
MF290100,Senecio_bipinnatisectus
MF290098,Senecio_bipinnatisectus
MF290159,Senecio_biserratus
MF290090,Senecio_biserratus
MF290150,Senecio_campylocarpus
MF290151,Senecio_condylus
MF290152,Senecio_condylus
MF290112,Senecio_cunninghamii
MF290156,Senecio_glossanthus
MF290155,Senecio_glossanthus
MF290135,Senecio_dolichocephalus
MF290091,Senecio_distalilobatus
EF538176,Culcitium_canescens
EF538177,Culcitium_neaei
MF290149,Senecio_glabrescens
EF538180,Culcitium_serratifolium
MF290187,Senecio_glaucophyllus
MF290173,Senecio_hamersleyensis
MF290171,Senecio_hamersleyensis
MF290178,Senecio_halophilus
MF290180,Senecio_halophilus
MF290153,Senecio_hooglandii
MF290106,Senecio_hypoleucus
MF290108,Senecio_hypoleucus
MF290121,Senecio_kermadecensis
MF290105,Senecio_kermadecensis
MF290132,Senecio_laceratus
MF290123,Senecio_hauwai
MF290122,Senecio_hauwai
MF290118,Senecio_linearifolius
MF290148,Senecio_longicollaris
MF290078,Senecio_nigrapicus
MF290104,Senecio_odoratus
MF290077,Senecio_papuanus
MF290134,Senecio_phelleus
MF290117,Senecio_picridioides
MF290116,Senecio_picridioides
MF290147,Senecio_psilophyllus
MF290220,Senecio_radiolatus
MF290218,Senecio_radiolatus
MF290086,Senecio_repangae
MF290087,Senecio_repangae
MF290131,Senecio_runcinifolius
MF290097,Senecio_runcinifolius
MF290181,Senecio_serratiformis
MF290161,Senecio_spanomerus
MF290160,Senecio_spanomerus
MF290176,Senecio_spathulatus
MF290174,Senecio_spathulatus
EF538295,Senecio_adenotrichius
EF538296,Senecio_algens
KJ418352,Hasteola_robertiorum
EF538299,Senecio_aspericaulis
KM365026,Senecio_australis
KM365025,Senecio_australis
EF538304,Senecio_bahioides
MF290115,Senecio_banksii
MF290114,Senecio_banksii
EF538306,Senecio_bonariensis
EF538307,Senecio_brassii
EF538310,Senecio_callosus
EF538311,Senecio_candollei
EF538314,Senecio_cisplatinus
EF538316,Senecio_comosus
EF538317,Senecio_coriaceus
EF538320,Senecio_cremeiflorus
EF538321,Senecio_crithmoides
EF538322,Senecio_ctenophyllus
EF538312,Senecio_culcitioides
EF538323,Senecio_cunninghamii
EF538324,Senecio_decurrens
EF538325,Senecio_deferens
MF290093,Senecio_diaschides
EF538328,Senecio_diaschides
EF538329,Senecio_donianus
JX895316,Senecio_doronicum
JX895312,Senecio_doronicum
EF538331,Senecio_dregeanus
EF538333,Senecio_farinifer
EF538334,Senecio_filaginoides
EF538335,Senecio_fistulosus
EF538337,Senecio_franchetii
EF538340,Senecio_glastifolius
EF538339,Senecio_glastifolius
EF538341,Senecio_gnidioides
MF290133,Senecio_gunnii
EF538343,Senecio_gunnii
EF538344,Senecio_hansweberi
EF538345,Senecio_hastatus
EF538347,Senecio_humillimus
KU499907,Senecio_changii
KU499906,Senecio_changii
EF538348,Senecio_hypsobates
EF538352,Senecio_laetevirens
EF538353,Senecio_landbeckii
EF538355,Senecio_leptolobus
KX494568,Senecio_meyeri-johannis
EF538360,Senecio_meyeri-johannis
EF538361,Senecio_montevidensis
EF538362,Senecio_oerstedianus
EF538393,Senecio_oreophyton
EF538364,Senecio_panduriformis
EF538365,Senecio_perralderianus
EF538367,Senecio_polygaloides
EF538368,Senecio_pubiger
EF538369,Senecio_pudicus
EF538370,Senecio_purpureus
AF459948,Senecio_pyrenaicus
EF538371,Senecio_pyrenaicus
EF538373,Senecio_roseus
EF538374,Senecio_rufescens
EF538375,Senecio_sarracenicus
MF290075,Senecio_scaberulus
EU331120,Senecio_scaberulus
EF538379,Senecio_selloi
EF538380,Senecio_sinuatilobus
EF538381,Senecio_sisymbriifolius
EF538382,Senecio_smithii
EF538383,Senecio_spartioides
EF538385,Senecio_stoechadiformis
EF538387,Senecio_telekii
EF538389,Senecio_triangularis
MG219636,Senecio_triangularis
EF538390,Senecio_tricuspidatus
EF538391,Senecio_trifidus
EF538394,Senecio_viridis
EF538395,Senecio_volckmannii
EU812817,Senecio_wairauensis
EU812816,Senecio_wairauensis
EF538398,Senecio_wootonii
AY953929,Senecio_achilleifolius
AY953926,Senecio_cordifolius
EF538326,Senecio_deltoideus
AY953927,Senecio_deltoideus
AY953928,Senecio_hederiformis
AF457431,Senecio_californicus
AF097536,Senecio_californicus
AF097539,Senecio_viscosus
AF459925,Senecio_viscosus
JN789807,Senecio_incrassatus
JN789808,Senecio_kerdousianus
JN789809,Senecio_laxus
KU307495,Senecio_fontanicola
KU307506,Senecio_fontanicola
KX280793,Senecio_glanduloso-lanosus
JN789817,Senecio_massaicus
JN789864,Senecio_massaicus
EF538178,Senecio_niveoaureus
KX280789,Senecio_hirsutilobus
DQ208189,Senecio_hoggariensis
DQ208190,Senecio_hoggariensis
JN789910,Senecio_teneriffae
KX494510,Senecio_auriculatissimus
DQ915898,Senecio_crassissimus
EF538318,Senecio_crassissimus
DQ915897,Senecio_melastomifolius
DQ915899,Senecio_meuselii
KJ561200,Senecio_meuselii
JF708199,Senecio_actinotus
EF538351,Senecio_junceus
EF538384,Senecio_stigophlebius
AF459939,Senecio_lineatus
FJ980341,Senecio_scandens
FJ980344,Senecio_scandens
KX494518,Senecio_cryptolanatus
KX494521,Senecio_maranguensis
KX494520,Senecio_maranguensis
KX494514,Senecio_mariettae
KX494507,Senecio_microglossus
JX895196,Senecio_racemosus
JX895199,Senecio_racemosus
KJ561183,Senecio
EF538294,Senecio_adamantinus
EF538303,Senecio_ayopayensis
GU818666,Senecio_otites
GU818667,Senecio_otites
EF538366,Senecio_pinifolius
EF538386,Senecio_subnemoralis
DQ915883,Senecio_muirii
KX494504,Senecio_ruwenzoriensis
KC311155,Senecio_hadiensis
DQ915895,Senecio_abbreviatus
DQ915896,Senecio_acaulis
DQ915869,Senecio_descoingsii
KJ561190,Senecio_descoingsii
DQ915868,Senecio_kleinia
KJ561196,Senecio_kleinia
DQ915870,Senecio_longiflorus
KJ561198,Senecio_longiflorus
DQ915875,Senecio_pendulus
DQ915894,Senecio_toxotis
KJ561210,Senecio_tropaeolifolius
DQ915880,Senecio_tropaeolifolius
DQ915871,Senecio_sempervivus
EF538308,Senecio_bulbinifolius
EF538356,Senecio_linifolius
AF459953,Senecio_angulatus
KJ561202,Senecio_oxyriifolius
AF459936,Senecio_oxyriifolius
DQ915876,Senecio_picticaulis
KJ561204,Senecio_picticaulis
KX494513,Senecio_syringifolius
KJ561184,Senecio_aloides
KJ561197,Senecio_kleiniiformis
DQ915878,Senecio_amaniensis
KJ561185,Senecio_amaniensis
DQ915867,Senecio_anteuphorbium
DQ915879,Senecio_ballyi
KJ561187,Senecio_ballyi
DQ915893,Senecio_corymbiferus
DQ915874,Senecio_deflersii
EF538346,Senecio_hemmendorffii
DQ915877,Senecio_fulgens
KJ561191,Senecio_fulgens
DQ915872,Senecio_jacobsenii
KJ561195,Senecio_jacobsenii
KJ561199,Senecio_macroglossus
DQ915881,Senecio_macroglossus
